order_hint,url,title,description,document_type,source,es_score,current_score,confidence,p1_keep,p2_keep,p1_reason,primary_topic,seed_label,content_hash,govuk_link,label,rationale
14,https://www.gov.uk/government/publications/agent-update-issue-114/issue-114-of-agent-update,Issue 114 of agent update,,guidance,both,0.0012547682,0.15,Mentioned in passing,1,0,"The page contains one passing mention of probate-related content (returns for deceased persons and estates) but this represents only a minor section heading with no substantive content about probate policies, procedures or rules.",Technical updates and reminders for UK tax agents,should_include,e7449f0d66ba6c9b21c34fa02ce498cca4ecb8fb14559960e6a1cc1670e16ea9,https://www.gov.uk/government/publications/agent-update-issue-114/issue-114-of-agent-update,,
15,https://www.gov.uk/government/publications/pension-schemes-newsletter-181-may-2026/newsletter-181-may-2026,Newsletter 181 — May 2026,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns pension scheme administration policies and procedures, not probate-specific policies, procedures and rules.",Pension schemes administration updates and policy changes,should_include,45908db902557607600c36069064e6135120c27d2035200333c6fd7667014b3a,https://www.gov.uk/government/publications/pension-schemes-newsletter-181-may-2026/newsletter-181-may-2026,,
16,https://www.gov.uk/government/publications/notes-on-finance-bill-resolutions-2021/notes-on-finance-bill-resolutions-2021,Notes on Finance Bill resolutions 2021,,guidance,both,0.002270767,0.0,Wrong sense,0,,"The page concerns tax policy resolutions and legislation, not probate-specific policies, procedures and rules.",Finance Bill 2021 tax resolutions,,f65a8d883054961a87ceb4a818bd461bd604c3e8e1027d9c36cac9ac182cd584,https://www.gov.uk/government/publications/notes-on-finance-bill-resolutions-2021/notes-on-finance-bill-resolutions-2021,,
17,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-august-2024,HMRC Trusts and Estates Newsletter: August 2024,,guidance,shortlister,,0.6,Discussed a moderate amount,1,1,"The page contains multiple distinct sections on probate-specific procedures and rules (probate application processes, unique codes, form requirements), though probate is not the main focus of the entire newsletter, which covers broader trusts and estates topics.",HMRC Trusts and Estates Newsletter August 2024,should_include,ed36658eb31b5fddbfd7a17656f775311d1938349741238e884ea653ffc04bd3,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-august-2024,,
18,https://www.gov.uk/government/publications/inheritance-tax-notes-for-completion-of-forms-c1-and-c5-c3-2004,Inheritance Tax: notes for completion of forms C1 and C5 (C3 (2004)),Use C3 (2004) notes to help you complete forms C1 confirmation and C5 return of estate information if the deceased died on or after 1 November 2004 but before 1 September 2006.,guidance,both,0.023238884,0.8,Major focus,1,1,The page is about probate-specific procedures and rules for completing inheritance tax forms that must be followed during estate administration.,Inheritance Tax forms completion notes for probate,should_include,2eac56701cb5aee7e7b439ffea94387b98a174f5233286100bbbfaf97ed7b40b,https://www.gov.uk/government/publications/inheritance-tax-notes-for-completion-of-forms-c1-and-c5-c3-2004,,
19,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-august-2026,HMRC Trusts and Estates Newsletter: August 2026,,guidance,shortlister,,0.8,Major focus,1,1,"The page contains multiple sections on probate-specific policies, procedures and rules including excepted estates, nil rate band allowances, IHT reporting requirements, and Trust Registration Service changes that practitioners must follow.",HMRC Trusts and Estates Newsletter updates,should_include,321ae34ec31765380b8035f093e2bc5c7294578539f1ac835bbbc61d1071e56a,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-august-2026,,
20,https://www.gov.uk/government/publications/agent-update-issue-122/issue-122-of-agent-update,Issue 122 of Agent Update ,,guidance,both,0.0013331829,0.15,Mentioned in passing,1,0,"The page contains one section mentioning probate-related procedures (P1000 form for estate administration), but this is a minor part of a much longer document primarily about tax updates and HMRC operational changes.",Technical updates and tax reminders for agents,should_include,5a4511bba4fe688554ca3a2055f00e1048acf7989d5cdc099a4237604a85de69,https://www.gov.uk/government/publications/agent-update-issue-122/issue-122-of-agent-update,,
21,https://www.gov.uk/government/publications/compliance-checks-financial-institution-notice-ccfs60/compliance-checks-financial-institution-notice-ccfs60,Compliance checks: financial institution notice — CC/FS60,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax compliance procedures and HMRC notices, not probate-specific policies, procedures, or rules.",HMRC financial institution notice procedures,,0ce8c966a4f343dc383c1cad3ca1b3f58cc838dc29c1df5a704dc0a9de179f8c,https://www.gov.uk/government/publications/compliance-checks-financial-institution-notice-ccfs60/compliance-checks-financial-institution-notice-ccfs60,,
22,https://www.gov.uk/government/publications/compliance-checks-penalties-for-enablers-of-defeated-tax-avoidance-ccfs43/compliance-checks-penalties-for-enablers-of-defeated-tax-avoidance-ccfs43,Compliance checks: penalties for enablers of defeated tax avoidance — CC/FS43,,guidance,both,0.0022933607,0.0,Wrong sense,0,,"This page concerns tax compliance penalties for tax avoidance enablers, not probate-specific policies, procedures and rules.",Tax avoidance enabler penalties,,4c377df14ec851eace396ad8ea4c7ab85bf9b7548cc8597ad369f0595f759bf1,https://www.gov.uk/government/publications/compliance-checks-penalties-for-enablers-of-defeated-tax-avoidance-ccfs43/compliance-checks-penalties-for-enablers-of-defeated-tax-avoidance-ccfs43,,
23,https://www.gov.uk/government/publications/agent-update-issue-116/issue-116-of-agent-update,Issue 116 of agent update,,guidance,both,0.0021315468,0.15,Mentioned in passing,1,0,"The page mentions probate in relation to Inheritance Tax as one item in a list of topics, but probate-specific policies, procedures and rules are not discussed or covered in the visible content.",Technical updates and reminders for tax agents,should_include,59a086dcd8ab6bc4a89912dc071badaf0b3d1c7fd6aee1c41c7e07758b9e0814,https://www.gov.uk/government/publications/agent-update-issue-116/issue-116-of-agent-update,,
24,https://www.gov.uk/government/publications/general-information-about-checks-by-compliance-centres-ccfs1b/general-information-about-checks-by-campaigns-and-projects,General information about checks by Campaigns and Projects,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax compliance checks by HMRC, not probate-specific policies, procedures and rules.",HMRC compliance checks procedures and rights,,c1ac95e4d4c0ce0419675b744a5bf6a3155408ba585f5bc31ee04ee0a7890e9d,https://www.gov.uk/government/publications/general-information-about-checks-by-compliance-centres-ccfs1b/general-information-about-checks-by-campaigns-and-projects,,
25,https://www.gov.uk/government/publications/voa-litigation-and-settlement-strategy/voa-litigation-and-settlement-strategy,VOA Litigation and Settlement Strategy,,guidance,both,0.0019298004,0.0,Wrong sense,0,,"The page concerns non-domestic rating and council tax disputes, not probate; probate is not mentioned anywhere in the visible text.",VOA litigation and settlement strategy for rating and council tax disputes,,f5507ee4c4a5a84188b79586bce299bb582d9b2400f02873eb11fcfbe3d0fa0e,https://www.gov.uk/government/publications/voa-litigation-and-settlement-strategy/voa-litigation-and-settlement-strategy,,
26,https://www.gov.uk/government/publications/agent-update-issue-112/issue-112-of-agent-update,Issue 112 of Agent update,,guidance,both,0.0019107539,0.15,Mentioned in passing,1,0,"Probate is mentioned once in passing regarding HMRC service changes, not as the main focus of policies, procedures and rules.",Tax updates and guidance for agents,should_include,cf34bc00d86fde3208a56318a23bc974d78787ff1e17c7940dd5826a047a8cf3,https://www.gov.uk/government/publications/agent-update-issue-112/issue-112-of-agent-update,,
27,https://www.gov.uk/government/publications/technical-briefing-on-foreign-domiciled-personsinheritance-tax-residential-property-changes/technical-briefing-on-foreign-domiciled-personsinheritance-tax-residential-property-changes,Technical briefing on foreign domiciled persons/Inheritance Tax residential property changes,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns Inheritance Tax policy and rules for non-domiciled individuals, not probate-specific policies, procedures and rules that need to be followed.",Inheritance Tax rules for foreign domiciled persons owning UK residential property,should_include,9e286598ebeaf132ee6a8ab023c426b64522d6d051715abcc1c9052918826448,https://www.gov.uk/government/publications/technical-briefing-on-foreign-domiciled-personsinheritance-tax-residential-property-changes/technical-briefing-on-foreign-domiciled-personsinheritance-tax-residential-property-changes,,
28,https://www.gov.uk/government/publications/requirement-to-correct/original-requirement-to-correct-guidance,Original requirement to correct guidance,,guidance,both,0.00362243,0.0,Wrong sense,0,,"The page concerns tax compliance procedures and penalties related to offshore income disclosure, not probate-specific policies, procedures and rules.",Requirement to Correct offshore tax compliance rule,,31d89f3b14b6a632ce09e3d690be8aa61b76a6ed232ff9f7ea919c84776f53d3,https://www.gov.uk/government/publications/requirement-to-correct/original-requirement-to-correct-guidance,,
29,https://www.gov.uk/government/publications/summer-budget-2015-hm-revenue-and-customs-overview/summer-budget-2015-hm-revenue-and-customs-overview,Summer Budget 2015: HM Revenue and Customs overview,,guidance,both,0.0018074062,0.2,Mentioned in passing,1,0,"The page mentions Inheritance Tax (IHT) policies related to probate (passing assets on death), but this is only a small section of a much broader budget overview document.",Summer Budget 2015 tax and welfare policy changes,should_include,410d96ee8c1c155e14b8f7b1575d93accff75e14d6d042a923a21240d8aa77b4,https://www.gov.uk/government/publications/summer-budget-2015-hm-revenue-and-customs-overview/summer-budget-2015-hm-revenue-and-customs-overview,,
30,https://www.gov.uk/government/publications/rates-and-allowances-inheritance-tax-thresholds,Rates and allowances: Inheritance Tax thresholds,Inheritance Tax thresholds (or 'nil rate bands') from 1914.,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns Inheritance Tax thresholds and rates, not probate-specific policies, procedures, and rules that need to be followed.",Inheritance Tax thresholds from 1914,should_include,d723dd732a9da2bdd775dc06465a294746e64886cb89499a20f15398e22ba2cd,https://www.gov.uk/government/publications/rates-and-allowances-inheritance-tax-thresholds,,
31,https://www.gov.uk/government/publications/pension-schemes-newsletter-75-january-2016/pension-schemes-newsletter-75-january-2016,Pension schemes newsletter 75 - January 2016,,guidance,both,0.0032997942,0.0,Wrong sense,0,,"The page concerns pension scheme tax rules and administration procedures, not probate-specific policies, procedures, and rules.",Pension schemes policies and tax regulations,should_include,53952f6a8e00e60b6b0140df9cdd19ca6fd2037a5d81cbf179367daf79606814,https://www.gov.uk/government/publications/pension-schemes-newsletter-75-january-2016/pension-schemes-newsletter-75-january-2016,,
32,https://www.gov.uk/government/publications/compliance-checks-penalties-for-tax-avoidance-schemes-ccfs30a/tax-avoidance-schemes-penalties-for-follower-notices,Tax avoidance schemes — penalties for follower notices,,guidance,shortlister,,0.0,Wrong sense,0,,"This page concerns tax penalties and compliance procedures, not probate-specific policies, procedures or rules.",Tax avoidance scheme penalties for follower notices,should_include,ce1ca903cf4594d898266bd786cb0981b8dedde5dba814b695d84a471d31a08e,https://www.gov.uk/government/publications/compliance-checks-penalties-for-tax-avoidance-schemes-ccfs30a/tax-avoidance-schemes-penalties-for-follower-notices,,
33,https://www.gov.uk/government/publications/pension-schemes-newsletter-181-may-2026,Pension schemes newsletter 181 — May 2026,,guidance,both,0.0059126336,0.0,Wrong sense,0,,"The page is about pension schemes and tax matters, not probate-specific policies, procedures and rules.",Pension schemes newsletter update,should_include,b6ff4c7c16de3b40ad2936edda7048fb489741643821ef329f2a2a97a174792f,https://www.gov.uk/government/publications/pension-schemes-newsletter-181-may-2026,,
34,https://www.gov.uk/government/publications/compliance-checks-tax-avoidance-schemes-follower-notices-except-partnerships-ccfs25a/tax-avoidance-schemes-follower-notices-and-accelerated-payments,Tax avoidance schemes — follower notices and accelerated payments,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax avoidance legislation and procedures, not probate-specific policies, procedures and rules.",Tax avoidance schemes: follower notices and accelerated payments,,62f85b48183513364095b1b1311e28d87f1e94b2deecd44f5fb0c52d777589cd,https://www.gov.uk/government/publications/compliance-checks-tax-avoidance-schemes-follower-notices-except-partnerships-ccfs25a/tax-avoidance-schemes-follower-notices-and-accelerated-payments,,
35,https://www.gov.uk/government/publications/charities-newsletter-1-june-2023/newsletter-1-june-2023,Newsletter 1 — June 2023,,guidance,both,0.0034487878,0.0,Wrong sense,0,,"The page is about charity tax reliefs, Gift Aid, and compliance matters, not about probate-specific policies, procedures, and rules.",HMRC charities newsletter on tax reliefs and compliance,,fb076f6de93be5e4febb7de5207fa0c0bd6dd95e63b850501e1e67163f0385ed,https://www.gov.uk/government/publications/charities-newsletter-1-june-2023/newsletter-1-june-2023,,
36,https://www.gov.uk/government/publications/rates-and-allowances-inheritance-tax-thresholds-and-interest-rates/inheritance-tax-thresholds-and-interest-rates,Inheritance Tax thresholds and interest rates,,guidance,shortlister,,0.0,Wrong sense,0,,"Page contains Inheritance Tax information but does not address probate-specific policies, procedures, or rules that need to be followed.",Inheritance Tax thresholds and interest rates,should_include,0cfe466726ee5d8f2b214861c8695fc37d7643822c593192b125221c1bcbf8c0,https://www.gov.uk/government/publications/rates-and-allowances-inheritance-tax-thresholds-and-interest-rates/inheritance-tax-thresholds-and-interest-rates,,
37,https://www.gov.uk/government/publications/death-personal-representatives-and-legatees-hs282-self-assessment-helpsheet/hs282-death-personal-representatives-and-legatees-2023,"HS282 Death, personal representatives and legatees (2023)",,guidance,both,0.0066408236,0.0,Wrong sense,0,,"The page concerns tax calculations and procedures for CGT in probate situations, not probate-specific policies, procedures and rules about the probate process itself.",Capital Gains Tax for deceased persons and personal representatives,should_include,6b772feac20013dbffe9d05d0a13e0867bd7bd3ac58e4f99d8f35b9aa4e9f8e5,https://www.gov.uk/government/publications/death-personal-representatives-and-legatees-hs282-self-assessment-helpsheet/hs282-death-personal-representatives-and-legatees-2023,,
38,https://www.gov.uk/government/publications/tax-on-contractor-loans/tax-on-contractor-loans,Tax on contractor loans,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax avoidance arrangements and settlement procedures, not probate-specific policies, procedures, and rules.",Contractor loan scheme tax settlement opportunity,,1e8a076dd5a1e68f839b8875be11e050535580f5ab86059d6e0b76ea6b268aac,https://www.gov.uk/government/publications/tax-on-contractor-loans/tax-on-contractor-loans,,
39,https://www.gov.uk/government/publications/death-personal-representatives-and-legatees-hs282-self-assessment-helpsheet/hs282-death-personal-representatives-and-legatees-2025,"HS282 Death, personal representatives and legatees (2025)",,guidance,both,0.0066408236,0.0,Wrong sense,0,,"This page is about Capital Gains Tax (CGT) calculations and procedures for deceased persons and their estates, not probate-specific policies, procedures and rules that need to be followed in the described sense.",Capital Gains Tax rules when someone dies,should_include,bd1bb68a6914ce24601efd10e8588a2433f090875a09ecfee8394294c58ebf35,https://www.gov.uk/government/publications/death-personal-representatives-and-legatees-hs282-self-assessment-helpsheet/hs282-death-personal-representatives-and-legatees-2025,,
40,https://www.gov.uk/government/publications/compliance-checks-tax-avoidance-schemes-follower-notices-and-accelerated-payments-for-income-tax-and-nics-through-paye-ccfs27/avoidance-schemes-follower-notices-and-accelerated-payments-for-income-tax-and-national-insurance-contributions-through-paye,Avoidance schemes – follower notices and accelerated payments for Income Tax and National Insurance contributions through PAYE,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax avoidance, follower notices and accelerated payments for income tax and NICs, not probate-specific policies, procedures and rules.","Tax avoidance schemes, follower notices and accelerated payments",,05c07d26a54fcd3a2fec183acaf26ae4b6d514c16c5eec20e7d914da6e0cabb2,https://www.gov.uk/government/publications/compliance-checks-tax-avoidance-schemes-follower-notices-and-accelerated-payments-for-income-tax-and-nics-through-paye-ccfs27/avoidance-schemes-follower-notices-and-accelerated-payments-for-income-tax-and-national-insurance-contributions-through-paye,,
41,https://www.gov.uk/government/publications/trusts-and-capital-gains-tax-hs294-self-assessment-helpsheet/hs294-trusts-and-capital-gains-tax-2024,HS294 Trusts and Capital Gains Tax (2024),,guidance,both,0.0056039053,0.0,Wrong sense,0,,"The page concerns Capital Gains Tax rules for trusts, not probate-specific policies, procedures and rules.",Capital Gains Tax treatment of trusts,should_include,8500b230812ed4852f8a7552f11b8069e4fe0f55ff6562393cb2026a0d6f63fe,https://www.gov.uk/government/publications/trusts-and-capital-gains-tax-hs294-self-assessment-helpsheet/hs294-trusts-and-capital-gains-tax-2024,,
42,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-august-2025,HMRC Trusts and Estates Newsletter: August 2025,,guidance,shortlister,,0.0,Wrong sense,0,,"The page discusses tax reforms, policies, and procedures for trusts and estates but contains no probate-specific content relating to probate policies, procedures, or rules.",HMRC Trusts and Estates Newsletter August 2025,should_include,8d2d4ec7c9467624f80ff9c6ac56783d5d78b3b73700d7976c7746d97b222d6a,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-august-2025,,
43,https://www.gov.uk/government/publications/relief-for-gifts-and-similar-transactions-hs295-self-assessment-helpsheet/hs295-relief-for-gifts-and-similar-transactions-2026,HS295 Relief for gifts and similar transactions (2026),,guidance,both,0.0071281763,0.0,Wrong sense,0,,"The page is about CGT rules for gifts, not probate-specific policies, procedures and rules; probate is only mentioned as a contact reference.",Capital Gains Tax relief for gifts and transfers,should_include,87386e0a00d48a541caac6fd57af99bd5ee791c5498aa13d1fa7043220789132,https://www.gov.uk/government/publications/relief-for-gifts-and-similar-transactions-hs295-self-assessment-helpsheet/hs295-relief-for-gifts-and-similar-transactions-2026,,
44,https://www.gov.uk/government/publications/health-and-wellbeing-tax-plan-your-guide-to-making-a-disclosure/health-and-wellbeing-tax-plan-your-guide-to-making-a-disclosure,Health and Wellbeing Tax Plan: Your guide to making a disclosure,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax disclosure procedures and penalties, not probate-specific policies, procedures, and rules.",Health and Wellbeing Tax Plan voluntary disclosure,should_include,68bfc21b09da1e857fd5d901f7aaa64d179be9652a419c420bc260b3c8d23daf,https://www.gov.uk/government/publications/health-and-wellbeing-tax-plan-your-guide-to-making-a-disclosure/health-and-wellbeing-tax-plan-your-guide-to-making-a-disclosure,,
45,https://www.gov.uk/government/publications/compliance-checks-tax-avoidance-schemes-accelerated-payments-ccfs26/avoidance-schemes-accelerated-payments-for-income-tax-and-national-insurance-contributions-through-paye-ccfs26,Avoidance schemes – accelerated payments for Income Tax and National Insurance contributions through PAYE CC/FS26,,guidance,both,0.0020131452,0.0,Wrong sense,0,,"The page concerns tax avoidance schemes and accelerated payment procedures, not probate-specific policies, procedures and rules.",Accelerated payments for tax avoidance scheme users,,9e5283def3f527e16712540117cba7d797eae811e4e847e850f2b6f48299ba3c,https://www.gov.uk/government/publications/compliance-checks-tax-avoidance-schemes-accelerated-payments-ccfs26/avoidance-schemes-accelerated-payments-for-income-tax-and-national-insurance-contributions-through-paye-ccfs26,,
46,https://www.gov.uk/government/publications/inheritance-tax-service-availability-and-issues/inheritance-tax-service-availability-and-issues,Inheritance Tax — service availability and issues,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns Inheritance Tax service status and availability, not probate-specific policies, procedures, or rules that need to be followed.",Inheritance Tax service availability status,,ae0835f0ad6978352fcbf9622547656c8d729ea644165c0faffeea0f54267d87,https://www.gov.uk/government/publications/inheritance-tax-service-availability-and-issues/inheritance-tax-service-availability-and-issues,,
47,https://www.gov.uk/government/publications/gaar-advisory-panel-opinion-of-13-january-2023-extraction-of-value-from-an-estate-using-options-by-utilising-property-which-is-not-excluded-propert,"GAAR Advisory Panel opinion of 13 January 2023: Extraction of value from an estate, using options, by utilising property which is not excluded property for Inheritance Tax purposes","Use the GAAR Advisory Panel opinion on the extraction of value from an estate, using options, by utilising property which is not excluded property, to help you recognise when arrangements may be abusive tax arrangements.",guidance,both,0.014309691,0.0,Wrong sense,0,,"The page concerns tax arrangements and anti-abuse rules, not probate-specific policies, procedures, and rules that need to be followed.",GAAR Advisory Panel opinion on estate value extraction,should_include,6cc31dde375b8917646b6c91229feb9112bb0a0f930318c89d75b8f6e8c9b73a,https://www.gov.uk/government/publications/gaar-advisory-panel-opinion-of-13-january-2023-extraction-of-value-from-an-estate-using-options-by-utilising-property-which-is-not-excluded-propert,,
48,https://www.gov.uk/government/publications/second-incomes-campaign-your-guide-to-making-a-disclosure/second-incomes-campaign-your-guide-to-making-a-disclosure,Second Incomes Campaign: your guide to making a disclosure,,guidance,shortlister,,0.0,Wrong sense,0,,"The page is about tax disclosure procedures under HMRC's Second Incomes Campaign and contains no content relating to probate, which is the only relevant sense of the inclusion topic.",Second Incomes Campaign tax disclosure guide,,97e551a7fa08566990dcd800d1a8435ccf573cddeac496ab48a5986cd728897b,https://www.gov.uk/government/publications/second-incomes-campaign-your-guide-to-making-a-disclosure/second-incomes-campaign-your-guide-to-making-a-disclosure,,
